cd8_epitope	hydro_score
FALSE	-1.527777778
FALSE	-1.178787879
FALSE	-0.95625
TRUE	0.2875
FALSE	-1.106451613
FALSE	-0.216129032
FALSE	-0.163333333
FALSE	-0.975862069
FALSE	-0.131034483
FALSE	-0.476923077
FALSE	-0.007692308
FALSE	-1.969230769
FALSE	-3.330769231
FALSE	-0.746153846
FALSE	-0.126923077
FALSE	-0.173076923
FALSE	-1.02
FALSE	-2.024
FALSE	-0.44
FALSE	1.188
FALSE	-1.028
FALSE	-0.296
FALSE	-0.708
FALSE	0.776
FALSE	0.08
FALSE	-0.368
FALSE	-0.616
FALSE	-0.588
FALSE	-0.992
FALSE	-1.604
FALSE	-0.492
FALSE	0.116
FALSE	-0.456
FALSE	-1.304
FALSE	0.108
FALSE	-0.412
FALSE	-0.368
FALSE	-0.824
FALSE	-1.576
FALSE	0.396
FALSE	-1.78
FALSE	-0.06
FALSE	-0.532
FALSE	-0.928
FALSE	0.244
FALSE	0.088
FALSE	0.072
FALSE	0.304
FALSE	-1.012
FALSE	-1.372
FALSE	0.124
FALSE	-0.524
FALSE	-0.088
FALSE	-0.536
FALSE	0.184
FALSE	-0.236
FALSE	0.2
FALSE	-0.84
FALSE	-0.18
FALSE	-0.076
FALSE	-0.24
FALSE	-0.152
FALSE	-0.772
FALSE	0.2
FALSE	0.012
FALSE	-0.272
FALSE	-0.432
FALSE	-0.676
FALSE	-0.152
FALSE	-0.176
FALSE	-0.088
FALSE	-0.924
FALSE	-0.396
FALSE	-0.408
FALSE	-0.032
FALSE	0.7
FALSE	0.324
FALSE	0.08
FALSE	-1.292
FALSE	-0.644
FALSE	-1.556
FALSE	-0.548
FALSE	0.332
FALSE	-0.048
FALSE	-0.736
FALSE	-0.948
FALSE	-1.08
FALSE	-0.816
FALSE	-0.816
FALSE	-0.712
FALSE	-1.388
FALSE	-1.192
FALSE	-0.372
FALSE	-0.072
FALSE	-0.704
FALSE	-0.304
FALSE	-1.656
FALSE	0.132
FALSE	-0.96
FALSE	0.264
FALSE	-0.96
FALSE	-0.232
FALSE	-0.264
FALSE	-0.332
FALSE	-0.864
FALSE	-0.992
FALSE	-0.148
FALSE	-0.588
FALSE	-1.068
FALSE	-2.1
FALSE	-0.872
FALSE	-0.672
FALSE	-1.064
FALSE	-0.1
FALSE	-1.34
FALSE	-0.372
FALSE	0.216
FALSE	1.908
FALSE	-0.924
FALSE	-0.644
FALSE	-0.336
FALSE	-0.22
FALSE	1.492
FALSE	-0.752
FALSE	-0.32
FALSE	0.672
FALSE	-1.208
FALSE	0.648
FALSE	-0.98
FALSE	-0.364
FALSE	-0.44
FALSE	-0.568
FALSE	-0.768
FALSE	-0.2
FALSE	-0.136
FALSE	-0.432
FALSE	-0.216
FALSE	0.18
FALSE	0.296
FALSE	-0.924
FALSE	0.048
FALSE	-0.556
FALSE	-0.116
FALSE	-0.024
FALSE	-0.6
FALSE	-0.344
FALSE	-0.328
FALSE	-1.128
FALSE	-0.8
FALSE	-0.468
FALSE	-0.112
FALSE	-0.352
FALSE	-0.092
