gene	 prob_haploinsufficient 
MED13	 1.0000000 
NIPBL	 1.0000000 
SMC3	 1.0000000 
CNOT1	 1.0000000 
RLF	 1.0000000 
PCF11	 1.0000000 
FNDC3B	 1.0000000 
TAF1	 1.0000000 
RSF1	 1.0000000 
NCKAP1	 1.0000000 
KDM2A	 1.0000000 
BRD4	 1.0000000 
HELZ	 1.0000000 
FBN1	 1.0000000 
XPO1	 1.0000000 
PRR12	 1.0000000 
POLA1	 1.0000000 
USP9X	 1.0000000 
SYNGAP1	 1.0000000 
HDAC4	 1.0000000 
PRKDC	 1.0000000 
SMG1	 1.0000000 
ZC3H4	 1.0000000 
SMARCA4	 1.0000000 
COL5A1	 1.0000000 
TNPO1	 1.0000000 
AGO1	 1.0000000 
ARHGAP35	 1.0000000 
LRP1	 1.0000000 
TOP1	 1.0000000 
HCFC1	 1.0000000 
UBTF	 1.0000000 
KDM3B	 1.0000000 
KMT2E	 1.0000000 
TRIP12	 1.0000000 
HUWE1	 1.0000000 
TRRAP	 1.0000000 
GRIN2B	 1.0000000 
USP7	 1.0000000 
ATP1A3	 1.0000000 
SMC1A	 1.0000000 
NPEPPS	 1.0000000 
CHERP	 1.0000000 
ANKRD17	 1.0000000 
ASH1L	 1.0000000 
RPRD2	 1.0000000 
MED13L	 1.0000000 
KMT2A	 1.0000000 
SF3B1	 1.0000000 
CREBBP	 1.0000000 
EIF3B	 1.0000000 
ZSWIM6	 1.0000000 
PPFIA1	 1.0000000 
PRPF3	 1.0000000 
KAT6A	 1.0000000 
SIN3A	 1.0000000 
KMT2B	 1.0000000 
CHD2	 1.0000000 
GLTSCR1L	 1.0000000 
ARID1A	 1.0000000 
MED12	 1.0000000 
SCN1A	 1.0000000 
TJP1	 1.0000000 
SPEN	 1.0000000 
WDFY3	 1.0000000 
HDAC6	 1.0000000 
MAP3K12	 1.0000000 
EHMT1	 1.0000000 
JMJD1C	 1.0000000 
GGNBP2	 1.0000000 
CASK	 1.0000000 
TLE3	 1.0000000 
CHD6	 1.0000000 
UBR5	 1.0000000 
SUPT5H	 1.0000000 
SMARCA5	 1.0000000 
TSC2	 1.0000000 
EIF4G1	 1.0000000 
NBEA	 1.0000000 
PTCH1	 1.0000000 
GREB1L	 1.0000000 
CNOT3	 1.0000000 
AHDC1	 1.0000000 
RAD54L2	 1.0000000 
CHD7	 1.0000000 
MBTD1	 1.0000000 
RBM25	 1.0000000 
U2SURP	 1.0000000 
GIGYF2	 1.0000000 
DCAF5	 1.0000000 
SUV420H1	 1.0000000 
KHSRP	 1.0000000 
RABGAP1	 1.0000000 
TM9SF2	 1.0000000 
MATR3	 1.0000000 
PHF21A	 1.0000000 
OGT	 1.0000000 
GTPBP4	 1.0000000 
MYBL1	 1.0000000 
TEX11	 1.0000000 
HIVEP2	 1.0000000 
NAV1	 1.0000000 
RBBP6	 1.0000000 
DYNC1H1	 1.0000000 
PRKCB	 1.0000000 
TAF4	 1.0000000 
THOC2	 1.0000000 
SBNO1	 1.0000000 
INO80	 1.0000000 
TRIM28	 1.0000000 
XPO6	 1.0000000 
RBM33	 1.0000000 
FLNA	 1.0000000 
SNRNP200	 1.0000000 
CHD8	 1.0000000 
FRMPD4	 1.0000000 
SMARCAD1	 1.0000000 
WAC	 1.0000000 
C17orf104	 1.0000000 
ATP2B1	 1.0000000 
BRWD3	 1.0000000 
MACF1	 1.0000000 
WDR26	 1.0000000 
CUL4B	 1.0000000 
EIF4G2	 1.0000000 
ZNF462	 1.0000000 
STXBP1	 1.0000000 
NF2	 1.0000000 
TET3	 1.0000000 
TRIM33	 1.0000000 
TOPBP1	 1.0000000 
RP11-762I7.5	 1.0000000 
MYT1L	 1.0000000 
SUPT6H	 1.0000000 
MYH9	 1.0000000 
SPTBN1	 1.0000000 
COPB2	 1.0000000 
F8	 1.0000000 
RNF17	 1.0000000 
ANK3	 1.0000000 
STAG2	 1.0000000 
ANKRD52	 1.0000000 
MGA	 1.0000000 
PREX1	 1.0000000 
USP34	 1.0000000 
KPNB1	 1.0000000 
MED14	 1.0000000 
ZNF407	 1.0000000 
CYFIP2	 1.0000000 
CUL2	 1.0000000 
YTHDC1	 1.0000000 
DAAM2	 1.0000000 
EFTUD2	 1.0000000 
NCBP1	 1.0000000 
STAT3	 1.0000000 
TCF20	 1.0000000 
NSD1	 1.0000000 
UBR4	 1.0000000 
SCAF8	 1.0000000 
ARID2	 1.0000000 
SRCAP	 1.0000000 
PHC3	 1.0000000 
FBXO11	 1.0000000 
COL5A2	 1.0000000 
NOTCH1	 1.0000000 
ZNF521	 1.0000000 
ILF3	 1.0000000 
CTNND2	 1.0000000 
PLEKHA5	 1.0000000 
COL3A1	 1.0000000 
ACTN4	 1.0000000 
PAXIP1	 1.0000000 
UPF2	 1.0000000 
EP300	 1.0000000 
BPTF	 1.0000000 
CAND1	 1.0000000 
AP2A1	 1.0000000 
RPTOR	 1.0000000 
SPTAN1	 1.0000000 
PSMD2	 1.0000000 
ARID1B	 1.0000000 
CACNA1C	 1.0000000 
RRM1	 1.0000000 
UBAP2L	 1.0000000 
KMT2D	 1.0000000 
RFX3	 1.0000000 
CLTC	 1.0000000 
BIRC6	 1.0000000 
DHX15	 1.0000000 
MAP2	 1.0000000 
COPA	 1.0000000 
DHX9	 1.0000000 
COL1A1	 1.0000000 
AGO2	 1.0000000 
ZMYM3	 1.0000000 
IPO7	 1.0000000 
SCAF4	 1.0000000 
RALGAPB	 1.0000000 
ANK2	 1.0000000 
ZEB2	 1.0000000 
ZCCHC6	 1.0000000 
ZCCHC11	 1.0000000 
ANKRD11	 1.0000000 
UBA1	 1.0000000 
AP2A2	 1.0000000 
NAA25	 1.0000000 
VPRBP	 1.0000000 
BAZ1B	 1.0000000 
SETBP1	 1.0000000 
RBM10	 1.0000000 
ARID5B	 1.0000000 
TRPS1	 1.0000000 
MTA1	 1.0000000 
TPR	 1.0000000 
NRXN3	 1.0000000 
NTRK2	 1.0000000 
WAPAL	 1.0000000 
RBM26	 1.0000000 
EIF4G3	 1.0000000 
PTPRD	 1.0000000 
ANKHD1	 1.0000000 
ANKHD1-EIF4EBP3	 1.0000000 
USP8	 1.0000000 
LPHN2	 1.0000000 
RIF1	 1.0000000 
PHIP	 1.0000000 
HNRNPU	 1.0000000 
TRERF1	 1.0000000 
TLK2	 1.0000000 
FUBP1	 1.0000000 
DHX30	 1.0000000 
ZC3H7A	 1.0000000 
TRIM24	 1.0000000 
MYCBP2	 1.0000000 
RAI1	 1.0000000 
SMARCC1	 1.0000000 
NOTCH2	 1.0000000 
ADAM10	 1.0000000 
AGPS	 1.0000000 
MYRF	 1.0000000 
CSE1L	 1.0000000 
KIF5C	 1.0000000 
MED1	 1.0000000 
PIK3CA	 1.0000000 
SMARCC2	 1.0000000 
REV3L	 1.0000000 
CHAF1A	 1.0000000 
TSC1	 1.0000000 
PSMD1	 1.0000000 
DOT1L	 1.0000000 
SON	 1.0000000 
SRRM2	 1.0000000 
TCEB3	 1.0000000 
VCPIP1	 1.0000000 
SF3A3	 1.0000000 
MAU2	 1.0000000 
FXR1	 1.0000000 
POGZ	 1.0000000 
WHSC1	 1.0000000 
STAG1	 1.0000000 
ATRX	 1.0000000 
ZMYND11	 1.0000000 
RERE	 1.0000000 
SUPT16H	 1.0000000 
XPO7	 1.0000000 
CDC42BPB	 1.0000000 
KIF11	 1.0000000 
ATP1A1	 1.0000000 
HIPK1	 1.0000000 
PPFIA3	 1.0000000 
NCOA2	 1.0000000 
KIAA0430	 1.0000000 
PRRC2C	 1.0000000 
RTF1	 1.0000000 
PIK3AP1	 1.0000000 
SEMA4C	 1.0000000 
ARMCX4	 1.0000000 
IPO5	 1.0000000 
NUP98	 1.0000000 
KMT2C	 1.0000000 
ADNP	 1.0000000 
RET	 1.0000000 
SHANK3	 1.0000000 
CACNA1E	 1.0000000 
PCLO	 1.0000000 
EPC1	 1.0000000 
GAPVD1	 1.0000000 
ZC3H18	 1.0000000 
RB1	 1.0000000 
CDK12	 1.0000000 
WNK1	 1.0000000 
TNRC6C	 1.0000000 
SCN2A	 1.0000000 
HECTD4	 1.0000000 
EPHA7	 1.0000000 
GSE1	 1.0000000 
ZFR	 1.0000000 
SIK3	 1.0000000 
KAT6B	 1.0000000 
COL4A1	 1.0000000 
BTAF1	 1.0000000 
TLN1	 1.0000000 
L1CAM	 1.0000000 
CDC5L	 1.0000000 
AAK1	 1.0000000 
TNPO2	 1.0000000 
RASA1	 1.0000000 
PUM1	 1.0000000 
PBRM1	 1.0000000 
AHCTF1	 1.0000000 
FNIP2	 1.0000000 
PPP1R12A	 1.0000000 
USP47	 1.0000000 
SCN8A	 1.0000000 
UBR3	 1.0000000 
CCDC88A	 1.0000000 
KSR2	 1.0000000 
ZMYND8	 1.0000000 
YTHDC2	 1.0000000 
EIF3A	 1.0000000 
RFX7	 1.0000000 
MINK1	 1.0000000 
USP42	 1.0000000 
NPAS2	 1.0000000 
TULP4	 1.0000000 
ZSWIM8	 1.0000000 
MAP1B	 1.0000000 
DDX42	 1.0000000 
COL2A1	 1.0000000 
CACNA1A	 1.0000000 
ITPR1	 1.0000000 
PHF12	 1.0000000 
RBM5	 1.0000000 
FRMD4A	 1.0000000 
CTR9	 1.0000000 
MBD5	 1.0000000 
ELMSAN1	 1.0000000 
INTS6	 1.0000000 
MECOM	 1.0000000 
NAA35	 1.0000000 
HIRA	 1.0000000 
SETD1A	 1.0000000 
RBM6	 1.0000000 
KIF1A	 1.0000000 
ZFHX3	 1.0000000 
SMARCA1	 1.0000000 
HEATR1	 1.0000000 
NFKB1	 1.0000000 
SAFB	 1.0000000 
AFF4	 1.0000000 
SLC12A5	 1.0000000 
RB1CC1	 1.0000000 
TRAPPC8	 1.0000000 
BAI3	 1.0000000 
ARID4A	 1.0000000 
PPFIA2	 1.0000000 
TRIO	 1.0000000 
AMBRA1	 1.0000000 
UBE2O	 1.0000000 
BAI1	 1.0000000 
KDM6B	 1.0000000 
SOS1	 1.0000000 
ZNF292	 1.0000000 
SPTB	 1.0000000 
BCOR	 1.0000000 
HDAC5	 1.0000000 
FNBP4	 1.0000000 
WHSC1L1	 1.0000000 
SPAG9	 1.0000000 
RANBP2	 1.0000000 
ATXN2L	 1.0000000 
XPO4	 1.0000000 
JAG2	 1.0000000 
DNMT1	 1.0000000 
ARFGEF1	 1.0000000 
CSDE1	 1.0000000 
CUL1	 1.0000000 
DDX46	 1.0000000 
ZFHX4	 1.0000000 
NUP85	 1.0000000 
ZFPM2	 1.0000000 
EZH2	 1.0000000 
SRRM1	 1.0000000 
ASXL2	 1.0000000 
KIF23	 1.0000000 
JAG1	 1.0000000 
BAZ2A	 1.0000000 
FLT4	 1.0000000 
CHD3	 1.0000000 
UNC79	 1.0000000 
USP24	 1.0000000 
ATP2B2	 1.0000000 
DIP2C	 1.0000000 
PKN2	 1.0000000 
MAPK8IP3	 1.0000000 
SETD1B	 1.0000000 
PPRC1	 1.0000000 
CASZ1	 1.0000000 
Mar-06	 1.0000000 
KALRN	 1.0000000 
C11orf30	 1.0000000 
SMCHD1	 1.0000000 
PPP1R10	 1.0000000 
ZNF609	 1.0000000 
CAMSAP3	 1.0000000 
HDLBP	 1.0000000 
DMD	 1.0000000 
ZNF541	 1.0000000 
ARHGAP42	 1.0000000 
HOOK3	 1.0000000 
DENND5B	 1.0000000 
ATAD2B	 1.0000000 
RICTOR	 1.0000000 
FASN	 1.0000000 
HIPK2	 1.0000000 
RREB1	 1.0000000 
KDM4A	 1.0000000 
ARHGEF2	 1.0000000 
CHD4	 1.0000000 
UBE4B	 1.0000000 
LRRC7	 1.0000000 
PLXND1	 1.0000000 
CHD5	 1.0000000 
ZFC3H1	 1.0000000 
TANC2	 1.0000000 
UNC13A	 1.0000000 
DOCK3	 1.0000000 
HECTD1	 1.0000000 
DMXL2	 1.0000000 
CUL5	 1.0000000 
SAP130	 1.0000000 
MAST1	 1.0000000 
ROBO2	 1.0000000 
POLR2A	 1.0000000 
ESPL1	 1.0000000 
TNRC6A	 1.0000000 
SLIT2	 1.0000000 
KDM6A	 1.0000000 
USP48	 1.0000000 
APC	 1.0000000 
FGD5	 1.0000000 
UPF1	 1.0000000 
CHD1	 1.0000000 
CKAP5	 1.0000000 
NFKB2	 1.0000000 
FAM120A	 1.0000000 
TEX10	 1.0000000 
CUX1	 1.0000000 
KDM5A	 1.0000000 
CASKIN1	 1.0000000 
KIAA0947	 1.0000000 
LARP1	 1.0000000 
DSCAML1	 1.0000000 
KDM5C	 1.0000000 
DICER1	 1.0000000 
CECR2	 1.0000000 
SIPA1L1	 1.0000000 
MYH10	 1.0000000 
PDGFRA	 1.0000000 
RC3H2	 1.0000000 
ZNF638	 1.0000000 
ZNF236	 1.0000000 
ANK1	 1.0000000 
NCOR2	 1.0000000 
ABCA2	 1.0000000 
GRID2	 1.0000000 
GPATCH8	 1.0000000 
PRPF4B	 1.0000000 
CHD9	 1.0000000 
KDM4B	 1.0000000 
ANKRD28	 1.0000000 
KIF1B	 1.0000000 
CAMTA1	 1.0000000 
HIVEP1	 1.0000000 
TNRC6B	 1.0000000 
GTF3C1	 1.0000000 
TENM4	 1.0000000 
SEC24C	 1.0000000 
BAG6	 1.0000000 
NUP153	 1.0000000 
TET1	 1.0000000 
SCN3A	 1.0000000 
TTC28	 1.0000000 
EPHA4	 1.0000000 
TDRD1	 1.0000000 
MAP4K4	 1.0000000 
ZMYM4	 1.0000000 
BSN	 1.0000000 
NCOR1	 1.0000000 
BRPF1	 1.0000000 
JAKMIP2	 1.0000000 
R3HDM2	 1.0000000 
BAZ1A	 1.0000000 
CLASP1	 1.0000000 
HTT	 1.0000000 
