gene	mut_no_response	mut_response	wt_no_response	wt_response	Greater_5%	RR_mut	RR_wt	Diff
CCND1 (n=61)	51	10	680	247	0.061740891	0.163934426	0.266450917	0.102516491
CCR7 (n=62)	50	12	681	245	0.062753036	0.193548387	0.264578834	0.071030447
HRAS (n=95)	76	19	655	238	0.096153846	0.2	0.266517357	0.066517357
NOTCH1 (n=56)	44	12	687	245	0.056680162	0.214285714	0.262875536	0.048589822
CHD4 (n=72)	56	16	675	241	0.072874494	0.222222222	0.263100437	0.040878214
HIST1H3B (n=264)	203	61	528	196	0.267206478	0.231060606	0.270718232	0.039657626
FSTL3 (n=114)	88	26	643	231	0.115384615	0.228070175	0.264302059	0.036231884
BCL2L12 (n=66)	51	15	680	242	0.066801619	0.227272727	0.262472885	0.035200158
RECQL4 (n=137)	105	32	626	225	0.138663968	0.233576642	0.26439483	0.030818187
DAXX (n=106)	80	26	651	231	0.107287449	0.245283019	0.261904762	0.016621743
TCF3 (n=89)	67	22	664	235	0.090080972	0.247191011	0.261401557	0.014210546
PTK6 (n=90)	66	24	665	233	0.091093117	0.266666667	0.259465479	-0.007201188
POU5F1 (n=60)	41	19	690	238	0.060728745	0.316666667	0.256465517	-0.060201149
