EnsemblGene	HGNC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000134072	CAMK1	215.0289379	2.515284118	0.455768096	5.431833108	5.58E-08	6.84E-05
ENSG00000123453	SARDH	387.2063397	2.259497459	0.509020217	4.214111643	2.51E-05	0.010563401
ENSG00000184293	CLECL1	127.0945564	2.165792614	0.502053364	4.277435231	1.89E-05	0.008787981
ENSG00000164949	GEM	911.69506	2.134575335	0.498142997	4.091419902	4.29E-05	0.015631302
ENSG00000072840	EVC	75.48239686	2.126382743	0.537059154	4.091252814	4.29E-05	0.015631302
ENSG00000236481	AC002331.1	120.3252847	2.037393238	0.528394508	3.606939759	0.00030983	0.067362942
ENSG00000100628	ASB2	412.9376092	1.959541142	0.507425446	3.836476082	0.000124812	0.036575444
ENSG00000111796	KLRB1	1004.379956	1.951695081	0.491188123	3.931753791	8.43E-05	0.027065403
ENSG00000168243	GNG4	115.9881226	1.918789976	0.533791273	3.029859578	0.002446675	0.215588947
ENSG00000235831	BHLHE40-AS1	95.73723033	1.915321608	0.524915197	3.42302398	0.000619286	0.105670597
ENSG00000104783	KCNN4	195.6623572	1.909405064	0.456589763	4.201028524	2.66E-05	0.010853651
ENSG00000237517	DGCR5	42.1983038	1.907180566	0.538505953	3.261262001	0.001109175	0.148581197
ENSG00000163599	CTLA4	3258.807053	1.872555607	0.427207306	4.297911701	1.72E-05	0.008300542
ENSG00000083457	ITGAE	4467.857292	1.840141526	0.335167785	5.464392078	4.64E-08	6.26E-05
ENSG00000147408	CSGALNACT1	331.7043676	1.833265205	0.5015671	3.762069971	0.000168513	0.042859504
ENSG00000128656	CHN1	1114.201116	1.783974456	0.479073783	3.588627314	0.000332424	0.070016731
ENSG00000160949	TONSL	136.3925424	1.774800027	0.480204304	3.683425504	0.000230121	0.053483192
ENSG00000170128	GPR25	195.7727603	1.752715795	0.53860359	3.085393745	0.002032828	0.197658285
ENSG00000102174	PHEX	48.11546805	1.725795389	0.500270898	3.260361672	0.001112702	0.148581197
