gene	Log2_FC_CPI	pval	Log2_FC_NART
CXCL13	1.216316181	3.43E-02	13.422415
CCR5	0.80330205	7.37E-03	8.962249
ICOS	0.634446977	1.55E-02	5.382176
MYO7A	0.564870488	5.77E-03	9.277447
GBP4	0.559894947	4.42E-03	4.128407
CD38	0.534188514	2.82E-04	6.782918
SLA2	0.530507129	4.21E-02	5.570817
HLA-DOA	0.49830434	4.19E-02	7.459678
HLA-DMB	0.460912801	3.61E-02	12.675162
CHAF1B	0.453812186	3.38E-04	5.615157
NCF1	0.381789281	6.75E-03	8.119796
EPSTI1	0.377230301	1.68E-02	10.394185
FBXO6	0.369037213	8.64E-05	7.478593
ZNHIT3	0.310640194	1.17E-02	8.196102
TFDP1	0.307054687	1.03E-02	8.666399
MCM4	0.306257525	1.30E-03	6.874266
MCM6	0.30364863	2.19E-02	11.774449
GADD45G	0.301887993	4.13E-03	12.099804
PARP9	0.29412323	1.31E-02	6.70158
ZWILCH	0.273099641	6.11E-03	9.277208
CEP89	0.257439963	1.32E-03	3.560215
PRR11	0.234067731	6.96E-03	5.014555
SYVN1	0.22389818	2.34E-02	9.028389
C16orf87	0.208717026	2.06E-03	7.635282
TMEM199	0.206450699	6.94E-03	12.111265
IKZF3	0.204109107	3.25E-02	2.440943
PPP2R3B	0.203207114	1.51E-02	7.408142
RCSD1	0.200796774	4.38E-02	5.749365
ACO1	0.198645636	3.17E-02	8.232196
KCNMB3	0.19664191	3.02E-02	6.260488
C1orf112	0.196635446	2.73E-02	3.041
EFTUD2	0.196391548	4.02E-03	8.043343
ACTR6	0.196336391	2.46E-03	8.743981
WASH1	0.189689042	4.44E-02	8.083593
PSME3	0.18965722	3.91E-02	8.437812
MRPS35	0.18905984	1.07E-02	11.179222
SUPT16H	0.186778921	2.44E-02	7.663922
CRLF3	0.182561683	3.68E-03	6.353868
GTPBP4	0.180994485	1.89E-02	4.515892
DLG3	0.176147687	3.59E-02	10.331338
PCID2	0.172096436	4.90E-03	9.329726
CENPF	0.171771882	1.95E-03	9.135322
TPX2	0.169333908	8.18E-03	9.532549
RFWD3	0.168136591	2.28E-03	10.276586
PLAA	0.16467317	1.76E-02	10.173257
CEP250	0.153630517	3.19E-02	6.468108
KIF23	0.15248703	3.60E-04	8.236162
SLC50A1	0.150488731	3.20E-02	3.975607
KDM1A	0.14214011	1.51E-02	10.037156
LMBRD2	0.141573093	5.39E-03	12.002887
PASK	0.138273486	2.62E-03	11.718212
NUDT5	0.131713966	2.05E-02	12.341618
ACAT2	0.130228288	4.00E-02	10.976844
CXorf40B	0.129374213	1.78E-02	11.125377
HIST1H2AG	0.129363531	7.83E-03	7.428905
S100PBP	0.126278668	2.38E-02	8.643144
DTNBP1	0.121871279	2.95E-03	11.491735
HLCS	0.119655681	7.93E-03	10.126517
POU2F1	0.111209352	7.09E-04	6.609394
CLEC16A	0.109161751	2.61E-02	8.300247
NDE1	0.108966985	2.03E-02	9.097434
FAM60A	0.10540464	8.88E-03	9.900962
MRS2	0.10456367	8.50E-03	3.288866
SLC9A6	0.103950836	4.15E-02	8.280329
MMS22L	0.100178549	6.19E-03	2.13319
ASH2L	0.100016825	2.44E-02	6.846232
HELB	0.097183496	8.67E-03	5.118687
PRPS1	0.096635164	6.14E-03	10.860865
ZDHHC13	0.096099737	1.09E-02	8.271881
MLH1	0.094162984	3.11E-03	10.328893
ZNF101	0.090876349	1.58E-02	4.281115
SCO1	0.090586197	4.41E-02	3.749324
VPS53	0.088928835	2.37E-02	3.600626
KIAA0100	0.087870364	4.81E-02	11.206162
NUP37	0.08466413	3.21E-02	10.967216
SMS	0.080523847	3.43E-02	10.798297
CKAP5	0.079076889	8.87E-04	11.449238
FANCI	0.06929183	1.09E-04	7.238853
CEP76	0.065452927	1.02E-03	5.813767
TTC31	0.061855557	3.52E-02	8.586946
ARNT	0.060940294	2.65E-02	7.329492
ZCCHC4	0.060781746	4.31E-02	6.432852
XPOT	0.060660581	2.21E-02	5.154915
POLR3C	0.056646532	3.48E-02	8.31844
DHRSX	0.053303704	4.79E-02	7.637311
PRIM2	0.04850186	7.88E-04	9.166046
ATXN2	0.042607817	1.90E-02	3.653684
TCP11L1	0.039316712	3.52E-02	11.538158
ZFYVE19	0.03820242	2.94E-02	8.196594
CHEK1	0.03619995	6.02E-03	5.197132
USP37	0.035994184	3.07E-02	8.037459
CLPX	0.033469599	1.60E-02	5.688495
IKBKAP	0.033456061	3.02E-02	8.71332
HIST1H2AC	0.02640209	3.04E-03	12.132936
FANCD2	0.024367406	1.12E-02	5.380794
NUP188	0.012075634	4.48E-02	10.925558
PRRC2A	0.01183673	2.87E-02	5.637254
DDX47	0.011220941	2.68E-02	9.038735
NUP98	0.004268631	3.76E-02	6.656153
C2CD3	0.003326098	1.43E-03	4.007677
PAPOLG	0.00219421	4.83E-02	9.780945
