Row.names	ens_gene	ext_gene	chromosome_name	start_position	end_position	strand	logFC	logCPM	PValue	FDR
ENSG00000251578	ENSG00000251578	TRBV21-1	7	142636924	142637384	1	-13.1538892612101	6.48357738686784	2.95817579466866e-20	4.86531172949154e-16
ENSG00000211799	ENSG00000211799	TRAV19	14	22007512	22008181	1	-14.0140696455233	7.34074440409845	8.97294367024383e-19	7.37890022722501e-15
ENSG00000171476	ENSG00000171476	HOPX	4	56647988	56681899	-1	9.71535554822179	7.59017437081279	2.79223842838199e-15	1.53079818105328e-11
ENSG00000111696	ENSG00000111696	NT5DC3	12	103770453	103841197	-1	7.27336326014061	5.53334972928914	2.31592346369023e-14	9.52249830182829e-11
ENSG00000197299	ENSG00000197299	BLM	15	90717327	90816165	1	6.42617848131323	4.83482481943602	5.45799759373397e-13	1.79535372848285e-09
ENSG00000205809	ENSG00000205809	KLRC2	12	10426854	10442300	-1	12.941294940546	7.29825726762308	7.76260248082609e-12	2.12785871670244e-08
ENSG00000166192	ENSG00000166192	SENP8	15	72114258	72143688	1	5.75394914176128	4.11697190909237	1.06504966189094e-11	2.50241025558862e-08
ENSG00000211694	ENSG00000211694	TRGV10	7	38299811	38300322	-1	-13.7593712987653	7.13104489458412	4.42865947089213e-11	9.10477028972036e-08
ENSG00000138658	ENSG00000138658	ZGRF1	4	112539333	112636995	-1	10.4451093383818	6.35590303571462	9.02461730501892e-11	1.58875417328766e-07
ENSG00000156500	ENSG00000156500	FAM122C	X	134796789	134854610	1	7.65036534773429	5.28248663529061	9.65984175404427e-11	1.58875417328766e-07
ENSG00000104970	ENSG00000104970	KIR3DX1	19	54532692	54545771	1	6.86256262717053	4.01375570235466	1.47129693416925e-10	1.82865768023972e-07
ENSG00000115523	ENSG00000115523	GNLY	2	85685175	85698854	1	11.4794845955159	12.007355464725	1.27675203758932e-10	1.82865768023972e-07
ENSG00000165795	ENSG00000165795	NDRG2	14	21016763	21070872	-1	7.43221541039805	4.96611251188396	1.55658828499763e-10	1.82865768023972e-07
ENSG00000280798	ENSG00000280798	LINC00294	11	33076149	33079454	1	4.3271762053334	4.43876893535554	1.46648735966904e-10	1.82865768023972e-07
ENSG00000150776	ENSG00000150776	C11orf57	11	112074086	112085150	1	6.87610470093095	4.49629746130957	1.80791599663677e-10	1.98231962644566e-07
ENSG00000185697	ENSG00000185697	MYBL1	8	66562175	66614247	-1	14.543113117436	7.58251522256543	2.04005133002604e-10	2.09704526405864e-07
ENSG00000173258	ENSG00000173258	ZNF483	9	111525159	111577844	1	5.77295861425299	4.52570151558759	2.3728896706857e-10	2.29570096551575e-07
ENSG00000137720	ENSG00000137720	C11orf1	11	111878935	111885975	1	6.86714394340476	3.83276611259154	3.65982544853276e-10	3.3440638417788e-07
ENSG00000154099	ENSG00000154099	DNAAF1	16	84145287	84178767	1	4.23589548311731	2.54342063505594	5.40844819089119e-10	4.68172354713618e-07
ENSG00000261884	ENSG00000261884	CTC-479C5.12	16	67929614	67936017	-1	9.2334638523478	4.84905497520432	6.43475508252494e-10	5.0396388972518e-07
ENSG00000267534	ENSG00000267534	S1PR2	19	10221435	10231272	-1	6.08130937372772	2.87657435417084	6.21435205725237e-10	5.0396388972518e-07
ENSG00000162438	ENSG00000162438	CTRC	1	15438439	15449242	1	5.76905174996656	4.42303347704926	7.52530118577437e-10	5.43601012963537e-07
ENSG00000183765	ENSG00000183765	CHEK2	22	28687743	28742422	-1	5.09445907157372	3.99917569242971	7.60188684754748e-10	5.43601012963537e-07
ENSG00000171109	ENSG00000171109	MFN1	3	179347692	179394931	1	3.29563089747932	7.05555839476183	1.5604122709338e-09	1.06933752583535e-06
ENSG00000137441	ENSG00000137441	FGFBP2	4	15960243	15969309	-1	14.722021152652	7.83015289803749	1.87045361032324e-09	1.23053402115945e-06
ENSG00000197808	ENSG00000197808	ZNF461	19	36637192	36666853	-1	8.36639908284423	5.34230474207869	2.05817899881893e-09	1.25373592568796e-06
ENSG00000215014	ENSG00000215014	RP5-832C2.5	1	1574975	1577075	1	6.29473012983635	3.14687834756967	1.9950822099469e-09	1.25373592568796e-06
ENSG00000160961	ENSG00000160961	ZNF333	19	14689801	14733746	1	7.10507826166864	4.33946486713968	2.46375813242077e-09	1.44719392871159e-06
ENSG00000150687	ENSG00000150687	PRSS23	11	86791059	86952910	1	9.64616025990236	6.7449144004995	2.73272901779650e-09	1.549834281231e-06
ENSG00000133114	ENSG00000133114	GPALPP1	13	44989529	45037669	1	7.88755992041511	5.03959581834021	3.20975594235749e-09	1.75969519946512e-06
ENSG00000083099	ENSG00000083099	LYRM2	6	89568144	89638753	-1	7.15963540612325	6.13515198137201	3.66238037358036e-09	1.88234906263363e-06
ENSG00000110435	ENSG00000110435	PDHX	11	34915829	35020591	1	7.93064339584544	4.51665737623172	3.61566282034359e-09	1.88234906263363e-06
ENSG00000175899	ENSG00000175899	A2M	12	9067664	9116229	-1	10.5408257060535	3.41591411892104	4.15308574307255e-09	2.06987276413073e-06
ENSG00000261654	ENSG00000261654	RP11-96K19.4	1	110936369	110942353	-1	5.68649538521288	3.22462699914442	5.06285777647185e-09	2.44908299557743e-06
ENSG00000259342	ENSG00000259342	RP11-519G16.5	15	45430652	45441808	-1	4.764685197857	3.84259151739528	5.30032973283763e-09	2.49070066045659e-06
ENSG00000165060	ENSG00000165060	FXN	9	69035259	69100178	1	8.44814704162381	3.46321460698977	5.82246381386998e-09	2.66005728740888e-06
ENSG00000197608	ENSG00000197608	ZNF841	19	52064466	52095765	-1	6.95091271079246	2.44005939776511	6.38406384376491e-09	2.83780264968653e-06
ENSG00000188283	ENSG00000188283	ZNF383	19	37217926	37248738	1	7.27566046850833	6.54122764922881	6.63900340640339e-09	2.87346550066096e-06
ENSG00000170088	ENSG00000170088	TMEM192	4	165070608	165208549	-1	3.9505118057872	4.32388493627825	7.57959808337055e-09	3.19645255582552e-06
ENSG00000103091	ENSG00000103091	WDR59	16	74871367	75000173	-1	7.0237247444624	5.63999196536175	8.23179442246684e-09	3.3847080716578e-06
ENSG00000168924	ENSG00000168924	LETM1	4	1811479	1856247	-1	7.56366004172224	3.04879944922033	8.54551733684984e-09	3.4280030155895e-06
ENSG00000164916	ENSG00000164916	FOXK1	7	4682309	4771443	1	3.42564460807905	4.78194613193742	1.04688489368685e-08	4.09955139201609e-06
ENSG00000135482	ENSG00000135482	ZC3H10	12	56118159	56127514	1	10.2309072315052	4.96170859099695	1.46138095817954e-08	5.58961223701834e-06
ENSG00000064666	ENSG00000064666	CNN2	19	1026581	1039068	1	-9.38615212319123	7.29874012808085	2.25355029327183e-08	8.42366856214585e-06
ENSG00000177595	ENSG00000177595	PIDD1	11	799179	809753	-1	4.80415230461151	4.08611386936567	2.87423356910113e-08	1.05050043357792e-05
ENSG00000145287	ENSG00000145287	PLAC8	4	83090048	83137075	-1	8.23278098856552	5.78831198578272	3.02429135024777e-08	1.08131564864185e-05
ENSG00000139160	ENSG00000139160	METTL20	12	31647160	31673114	1	7.33384092429813	3.36610502192817	3.14364406316577e-08	1.10007476397633e-05
ENSG00000204371	ENSG00000204371	EHMT2	6	31879759	31897687	-1	4.87263230046973	3.1091199869462	3.26336749719171e-08	1.11817927554817e-05
ENSG00000278030	ENSG00000278030	TRBV7-9	7	142529290	142529762	1	-7.34416410005845	8.64091585715486	3.4784669635072e-08	1.16755808466945e-05
ENSG00000050426	ENSG00000050426	LETMD1	12	51047962	51060424	1	5.45278016887555	3.68655686290057	4.13569317114519e-08	1.3603949117165e-05
ENSG00000180739	ENSG00000180739	S1PR5	19	10512742	10517931	-1	14.0773598145751	7.04279025414764	4.3397079153883e-08	1.39951325655669e-05
ENSG00000171169	ENSG00000171169	NAIF1	9	128061233	128068206	-1	7.24615844620572	4.87542616244047	4.95477348381647e-08	1.56713768246787e-05
ENSG00000133256	ENSG00000133256	PDE6B	4	625584	670782	1	8.5925842822689	3.06388647930907	5.16766697998583e-08	1.5917922384982e-05
ENSG00000140718	ENSG00000140718	FTO	16	53703963	54121941	1	6.85152878453236	5.92513714605729	5.22628934631865e-08	1.5917922384982e-05
ENSG00000085998	ENSG00000085998	POMGNT1	1	46188682	46220305	-1	4.48849002620823	3.91592331327483	5.55275765332114e-08	1.65376062802171e-05
ENSG00000169756	ENSG00000169756	LIMS1	2	108534355	108687246	1	-8.32517724191253	6.81256663418396	5.63085031733543e-08	1.65376062802171e-05
ENSG00000139714	ENSG00000139714	MORN3	12	121648742	121672631	-1	7.21908246092994	3.84063016543091	6.20621120563334e-08	1.75988889136296e-05
ENSG00000183520	ENSG00000183520	UTP11L	1	38009258	38024824	1	8.59355909321483	5.41658690543879	6.14082785141134e-08	1.75988889136296e-05
ENSG00000198538	ENSG00000198538	ZNF28	19	52797409	52857600	-1	12.3225832140916	6.37238611826338	6.73798994996053e-08	1.87830035096612e-05
ENSG00000143373	ENSG00000143373	ZNF687	1	151281618	151292180	1	8.38809500205001	3.3345783237525	7.09892270229861e-08	1.94593302807842e-05
ENSG00000114739	ENSG00000114739	ACVR2B	3	38453851	38493142	1	5.10654428994505	1.50278343020946	7.94867918341293e-08	2.1431463365507e-05
ENSG00000196502	ENSG00000196502	SULT1A1	16	28605196	28623625	-1	6.54568183236651	3.50722073911278	9.1736762358539e-08	2.43353956534015e-05
